,City,Zipcode,Price,Beds,Bath,SQFT,School_rating,WalkScore,Bike_Score,TransitScore,Garage_availability,County
747,San Francisco,94110,2950000,7,4,4652.0,5.6,99,98,86,Yes,San Francisco County
748,San Francisco,94110,2949000,3,2,2390.0,5.6,95,65,76,Yes,San Francisco County
749,SAN FRANCISCO,94102,750000,1,1,714.0,4.0,99,98,99,No,San Francisco County
750,San Francisco,94117,4185000,4,4,3345.0,5.6,97,74,77,Yes,San Francisco County
751,San Francisco,94110,1795000,2,2,1554.0,5.6,93,68,83,Yes,San Francisco County
752,San Francisco,94132,1325000,3,1,1605.0,8.3,81,45,73,Yes,San Francisco County
753,San Francisco,94103,1850000,2,2,1510.0,5.6,99,87,100,No,San Francisco County
754,San Francisco,94107,1595000,3,2,1530.0,5.6,87,64,69,No,San Francisco County
755,San Francisco,94127,899000,4,1,1470.0,5.6,64,54,63,Yes,San Francisco County
756,San Francisco,94105,8650000,3,3,2351.0,4.0,96,80,100,Yes,San Francisco County
757,San Francisco,94114,2450000,3,2,2254.0,5.6,96,76,76,Yes,San Francisco County
758,San Francisco,94110,1269800,3,2,1430.0,5.6,99,100,84,No,San Francisco County
759,San Francisco,94114,1299000,4,3,1918.0,3.2,98,63,87,No,San Francisco County
760,San Francisco,94133,750000,3,2,3226.0,5.6,100,61,100,No,San Francisco County
761,San Francisco,94115,1995000,4,2,3815.0,6.7,97,81,71,Yes,San Francisco County
762,San Francisco,94103,799000,1,1,1200.0,5.6,98,99,100,Yes,San Francisco County
763,SAN FRANCISCO,94107,1088000,2,2,1102.0,5.6,95,95,69,Yes,San Francisco County
764,San Francisco,94123,3495000,4,2,2530.0,6.0,99,94,67,No,San Francisco County
765,San Francisco,94114,3895000,5,4,3872.0,5.6,96,65,64,Yes,San Francisco County
766,San Francisco,94116,998000,2,1,1049.0,7.8,90,54,58,Yes,San Francisco County
767,San Francisco,94133,1420000,2,2,1349.0,5.6,98,66,83,No,San Francisco County
768,San Francisco,94117,1100000,2,2,1074.0,5.6,99,85,97,No,San Francisco County
769,San Francisco,94122,1500000,4,2,2160.0,5.6,97,80,68,Yes,San Francisco County
770,San Francisco,94110,1495000,4,3,2089.0174545454547,5.6,94,68,83,Yes,San Francisco County
771,San Francisco,94109,549000,1,1,592.0,5.6,94,73,80,Yes,San Francisco County
772,San Francisco,94131,22000000,6,7,9704.0,5.6,79,73,82,Yes,San Francisco County
773,San Francisco,94117,999000,3,1,2530.0,8.3,96,92,73,Yes,San Francisco County
774,San Francisco,94118,1488000,4,2,2475.0,8.3,95,91,66,No,San Francisco County
775,SAN FRANCISCO,94127,1215000,2,1,1070.0,5.6,60,48,62,Yes,San Francisco County
776,San Francisco,94107,1225000,2,2,959.0,5.6,94,71,70,Yes,San Francisco County
777,San Francisco,94122,3000000,6,4,4346.0,5.6,97,78,65,Yes,San Francisco County
778,San Francisco,94133,1350000,2,2,1156.0,5.6,99,74,81,Yes,San Francisco County
779,San Francisco,94110,1595000,2,1,1480.0,5.6,93,57,76,Yes,San Francisco County
780,San Francisco,94110,995000,2,1,1090.0,5.6,98,100,83,Yes,San Francisco County
781,San Francisco,94115,929000,2,1,867.0,6.7,96,70,72,No,San Francisco County
782,San Francisco,94109,1195000,2,2,1133.0,5.6,99,75,85,No,San Francisco County
783,San Francisco,94133,2600000,3,2,1750.0,5.6,96,69,83,Yes,San Francisco County
784,San Francisco,94103,1799000,2,2,2980.0,5.6,99,99,100,No,San Francisco County
785,SAN FRANCISCO,94115,2250000,3,2,2292.0,5.6,98,77,78,No,San Francisco County
786,San Francisco,94109,714996,2,2,1034.0,5.6,100,79,85,No,San Francisco County
787,San Francisco,94115,3995000,5,3,4005.0,6.0,96,61,82,Yes,San Francisco County
788,San Francisco,94102,789000,2,2,1004.0,6.5,99,99,100,No,San Francisco County
789,San Francisco,94131,3295000,4,3,2940.0,5.6,87,68,82,No,San Francisco County
790,San Francisco,94158,1495000,2,2,1071.0,5.6,91,92,80,No,San Francisco County
791,San Francisco,94124,899000,5,2,2100.0,5.6,75,41,63,Yes,San Francisco County
792,San Francisco,94123,1050000,1,1,841.0,6.5,87,96,64,Yes,San Francisco County
793,San Francisco,94131,2895000,4,3,2261.0,5.6,86,55,68,No,San Francisco County
794,San Francisco,94117,2750000,5,2,3100.0,5.6,97,73,77,No,San Francisco County
795,San Francisco,94131,1295000,4,2,1445.0,5.6,86,71,84,No,San Francisco County
796,San Francisco,94115,1795000,3,2,1680.0,5.6,95,94,74,Yes,San Francisco County
797,San Francisco,94112,1095000,2,1,1060.0,6.3,83,81,83,Yes,San Francisco County
798,San Francisco,94132,1808000,3,2,1880.0,7.0,78,70,53,Yes,San Francisco County
799,San Francisco,94118,2750000,4,3,1973.0,8.3,96,74,70,Yes,San Francisco County
800,SAN MATEO,94402,3198000,6,4,4549.0,7.0,84,74,44,Yes,San Mateo County
801,HILLSBOROUGH,94010,14999000,6,4,5030.0,7.7,58,48,41,Yes,San Mateo County
802,SAN MATEO,94402,3099000,4,3,2840.0,7.0,24,28,21,Yes,San Mateo County
803,SAN MATEO,94401,2098000,4,3,2149.0,5.0,95,69,47,No,San Mateo County
804,SAN MATEO,94403,3770000,4,3,2751.0,5.3,82,51,43,Yes,San Mateo County
805,SAN MATEO,94402,1668000,2,2,1700.0,6.3,75,80,41,Yes,San Mateo County
806,San Mateo,94403,2299990,3,2,1917.0,7.0,50,75,40,Yes,San Mateo County
807,SAN MATEO,94403,2530000,4,3,2880.0,7.7,72,76,33,Yes,San Mateo County
808,SAN MATEO,94403,1999999,3,2,1830.0,5.3,22,8,29,Yes,San Mateo County
809,SAN MATEO,94404,1098000,2,2,1200.0,5.6,60,74,30,Yes,San Mateo County
810,SAN MATEO,94404,1350000,2,2,1230.0,5.6,68,75,31,Yes,San Mateo County
811,San Mateo,94401,1595000,5,4,2420.0,7.7,50,70,33,Yes,San Mateo County
812,SAN MATEO,94401,2500000,4,3,2651.0,5.0,86,69,43,Yes,San Mateo County
813,SAN MATEO,94403,1889000,5,3,2485.0,5.3,94,61,50,Yes,San Mateo County
814,San Mateo,94403,1749990,3,2,1912.0,7.0,50,75,40,Yes,San Mateo County
815,San Mateo,94401,1798000,5,4,2500.0,6.2,44,72,27,Yes,San Mateo County
816,SAN MATEO,94402,2389000,3,2,1490.0,7.0,12,21,41,Yes,San Mateo County
817,SAN MATEO,94401,1850000,4,2,2405.0,6.3,88,95,45,Yes,San Mateo County
818,SAN MATEO,94401,1098000,2,1,1150.0,5.3,73,59,31,Yes,San Mateo County
819,San Mateo,94403,799888,2,2,1040.0,8.2,83,73,42,No,San Mateo County
820,SAN MATEO,94401,299000,1,2,1112.0,5.0,95,69,47,Yes,San Mateo County
821,SAN MATEO,94401,650000,2,2,1429.0,5.0,95,69,47,Yes,San Mateo County
822,SAN MATEO,94401,600000,1,1,693.0,5.3,84,67,35,Yes,San Mateo County
823,SAN MATEO,94402,1748000,2,2,1732.0,6.3,95,61,46,Yes,San Mateo County
824,SAN MATEO,94402,2995000,4,4,2183.0,7.0,66,65,41,Yes,San Mateo County
825,SAN MATEO,94401,1089888,2,2,1230.0,6.2,77,85,34,Yes,San Mateo County
826,SAN MATEO,94402,1439990,2,1,1250.0,6.3,81,82,42,Yes,San Mateo County
827,FOSTER CITY,94404,1298000,2,2,1530.0,7.7,76,68,41,Yes,San Mateo County
828,Foster City,94404,1199999,2,2,1230.0,7.7,74,64,41,Yes,San Mateo County
829,BELMONT,94002,1988888,3,2,1870.0,9.0,34,22,41,Yes,San Mateo County
830,SAN MATEO,94402,1599950,4,2,2770.0,6.3,84,89,44,Yes,San Mateo County
831,SAN MATEO,94402,1795000,2,2,1050.0,6.3,87,71,46,Yes,San Mateo County
832,SAN MATEO,94401,1080000,2,1,820.0,6.2,81,85,38,Yes,San Mateo County
833,SAN MATEO,94403,1895000,3,2,1860.0,6.0,67,40,41,Yes,San Mateo County
834,SAN MATEO,94401,1975000,3,3,1695.0,5.3,97,85,47,Yes,San Mateo County
835,SAN MATEO,94403,2128000,6,6,5624.0,5.7,80,76,45,No,San Mateo County
836,SAN MATEO,94403,2595000,8,8,5750.0,6.3,84,68,45,Yes,San Mateo County
837,SAN MATEO,94402,1998000,3,2,1720.0,7.0,77,72,43,Yes,San Mateo County
838,SAN MATEO,94402,2895000,2,2,2400.0,7.0,98,65,46,Yes,San Mateo County
839,SAN MATEO,94402,1150000,2,2,1238.0,6.3,95,61,46,Yes,San Mateo County
840,SAN MATEO,94402,1800000,2,2,1732.0,6.3,95,61,46,Yes,San Mateo County
841,SAN MATEO,94402,2590000,3,2,2270.0,7.0,16,14,17,Yes,San Mateo County
842,SAN MATEO,94401,350000,2,2,1100.0,5.0,95,69,47,Yes,San Mateo County
843,SAN MATEO,94402,9250000,6,6,5855.0,5.0,46,37,35,Yes,San Mateo County
844,SAN MATEO,94402,2750000,3,2,2448.0,5.0,41,34,45,Yes,San Mateo County
845,SAN MATEO,94401,799000,2,2,913.0,6.2,81,85,33,Yes,San Mateo County
846,SAN MATEO,94403,1385000,2,1,1040.0,5.3,86,41,46,Yes,San Mateo County
847,SAN MATEO,94402,1450000,2,1,1140.0,6.3,89,95,44,Yes,San Mateo County
848,SAN MATEO,94402,1980000,2,3,1698.0,6.3,95,61,46,Yes,San Mateo County
849,SAN MATEO,94403,2589000,4,4,2470.0,5.3,73,47,43,Yes,San Mateo County
850,Hillsborough,94010,5600000,4,3,3510.0,7.7,21,27,41,Yes,San Mateo County
851,SAN MATEO,94403,2200000,4,3,2460.0,5.3,77,57,44,Yes,San Mateo County
852,SAN MATEO,94401,948000,1,2,1095.0,6.3,98,84,47,Yes,San Mateo County
853,SAN MATEO,94402,4000000,4,3,3060.0,5.0,70,54,39,Yes,San Mateo County
854,SAN MATEO,94403,1180000,3,2,1292.0,6.0,58,33,38,No,San Mateo County
855,San Mateo,94403,1599990,3,3,1798.0,7.0,50,75,40,Yes,San Mateo County
856,SAN MATEO,94403,900000,2,2,1176.0,5.3,91,66,50,Yes,San Mateo County
857,SAN MATEO,94401,295000,2,2,1140.0,5.0,95,69,47,Yes,San Mateo County
858,BURLINGAME,94010,2048000,2,2,1693.0,8.0,79,74,41,Yes,San Mateo County
859,SAN MATEO,94401,550000,2,2,1400.0,5.0,95,69,47,Yes,San Mateo County
860,SAN MATEO,94402,1068888,2,2,1416.0,7.0,90,63,44,Yes,San Mateo County
861,SAN MATEO,94401,1750000,7,6,2264.0,5.3,90,83,47,Yes,San Mateo County
862,SAN MATEO,94403,1948000,4,2,2387.0,5.3,90,65,50,Yes,San Mateo County
863,SAN MATEO,94401,725000,2,2,1400.0,5.0,95,69,47,Yes,San Mateo County
864,SAN MATEO,94401,629000,2,1,750.0,6.2,77,85,34,Yes,San Mateo County
865,SAN MATEO,94403,639000,1,1,812.0,8.2,78,69,43,No,San Mateo County
866,FOSTER CITY,94404,949000,2,2,1350.0,5.6,76,68,41,Yes,San Mateo County
867,SAN MATEO,94404,649000,1,1,702.0,5.6,63,76,30,Yes,San Mateo County
868,San Mateo,94401,565000,1,1,667.0,5.0,92,76,41,Yes,San Mateo County
869,San Mateo,94403,786000,2,1,892.0,6.0,57,52,40,Yes,San Mateo County
870,SAN MATEO,94401,1325000,2,2,2200.0,5.7,94,86,46,Yes,San Mateo County
871,SAN MATEO,94401,650000,2,2,1400.0,5.0,95,69,47,Yes,San Mateo County
872,SAN MATEO,94401,239000,1,1,800.0,5.0,95,69,47,Yes,San Mateo County
873,SAN MATEO,94403,2588000,5,4,2820.0,5.7,69,73,44,Yes,San Mateo County
874,SAN MATEO,94402,1050000,2,2,1292.0,6.3,95,61,46,Yes,San Mateo County
875,BURLINGAME,94010,3200000,2,1,2647.0,8.0,92,75,41,Yes,San Mateo County
876,BELMONT,94002,375000,3,2,7450.0,9.0,6,5,41,No,San Mateo County
877,BELMONT,94002,1798000,3,2,1550.0,9.0,10,7,41,Yes,San Mateo County
878,SAN MATEO,94401,1698000,3,2,1750.0,6.3,82,73,43,Yes,San Mateo County
879,HILLSBOROUGH,94010,4958000,4,3,2990.0,8.3,17,19,41,Yes,San Mateo County
880,SAN MATEO,94402,995000,2,2,1101.0,5.0,70,53,42,Yes,San Mateo County
881,SAN MATEO,94401,329000,1,1,1000.0,5.0,95,69,47,Yes,San Mateo County
882,SAN MATEO,94402,2965000,4,2,3040.0,7.0,5,29,41,Yes,San Mateo County
883,San Mateo,94403,2399990,4,2,2244.0,7.0,50,75,40,Yes,San Mateo County
884,SAN MATEO,94403,1250000,3,1,1140.0,6.3,69,79,43,Yes,San Mateo County
885,SAN MATEO,94403,2950000,4,3,2357.0,5.3,49,34,37,Yes,San Mateo County
886,SAN MATEO,94401,280000,1,1,930.0,5.0,95,69,47,Yes,San Mateo County
887,San Mateo,94403,1434990,3,2,1500.0,7.0,50,75,40,Yes,San Mateo County
888,SAN MATEO,94401,679000,2,1,903.0,5.3,79,67,34,Yes,San Mateo County
889,SAN MATEO,94403,980000,2,1,1190.0,7.0,38,72,39,Yes,San Mateo County
890,FOSTER CITY,94404,1298000,2,2,1470.0,5.6,65,73,30,Yes,San Mateo County
891,SAN MATEO,94402,3298888,4,3,2455.0,7.0,8,17,41,Yes,San Mateo County
892,SAN MATEO,94401,685000,2,2,908.0,5.0,92,76,41,Yes,San Mateo County
893,SAN MATEO,94401,359000,2,2,1100.0,5.0,95,69,47,Yes,San Mateo County
894,SAN MATEO,94403,1199000,3,2,1320.0,5.6,92,68,47,Yes,San Mateo County
895,SAN MATEO,94401,360000,1,2,1112.0,5.0,95,69,47,Yes,San Mateo County
896,SAN MATEO,94401,249000,1,1,1000.0,5.0,95,69,47,Yes,San Mateo County
897,BELMONT,94002,375000,3,2,2089.0174545454547,9.0,6,5,21,No,San Mateo County
898,BURLINGAME,94010,2998000,3,2,2455.0,8.0,82,70,41,Yes,San Mateo County
899,SAN MATEO,94403,2498000,4,3,1836.0,5.3,44,23,36,Yes,San Mateo County
900,SAN MATEO,94401,1599999,4,2,2060.0,5.0,82,69,39,No,San Mateo County
901,SAN MATEO,94402,2799000,5,3,2760.0,7.0,48,34,35,Yes,San Mateo County
902,SAN MATEO,94401,665000,2,2,1429.0,5.0,95,69,47,Yes,San Mateo County
903,SAN MATEO,94402,5000000,4,3,3570.0,5.0,46,37,35,Yes,San Mateo County
904,SAN MATEO,94402,1460000,3,2,1770.0,7.0,42,22,31,Yes,San Mateo County
905,SAN MATEO,94402,1575000,2,2,2036.0,5.0,76,50,44,Yes,San Mateo County
906,SAN MATEO,94401,299000,2,1,981.0,5.0,95,69,47,Yes,San Mateo County
907,SAN MATEO,94402,2150000,3,2,2200.0,6.3,76,85,42,Yes,San Mateo County
908,SAN MATEO,94403,1799000,4,3,1750.0,6.3,67,76,43,Yes,San Mateo County
909,BURLINGAME,94010,5500000,9,8,5652.0,8.0,94,77,41,Yes,San Mateo County
910,SAN MATEO,94402,2398000,2,2,1660.0,5.0,58,43,36,Yes,San Mateo County
911,SAN MATEO,94402,9500000,4,4,6169.0,5.0,12,15,15,Yes,San Mateo County
912,SAN MATEO,94402,1850000,4,2,1540.0,6.3,75,83,43,Yes,San Mateo County
913,San Mateo,94403,1639990,3,3,1775.0,7.0,50,75,40,Yes,San Mateo County
914,SAN MATEO,94401,3380000,3,3,2190.0,5.0,83,65,41,Yes,San Mateo County
915,BURLINGAME,94010,1388888,2,2,1040.0,8.0,92,76,41,No,San Mateo County
916,SAN MATEO,94403,675000,1,1,840.0,8.2,77,74,42,Yes,San Mateo County
917,SAN MATEO,94401,149000,2,2,1140.0,5.0,95,69,47,Yes,San Mateo County
918,SAN MATEO,94401,275000,1,1,1000.0,5.0,95,69,47,Yes,San Mateo County
919,SAN MATEO,94403,1080000,2,1,1190.0,7.0,38,72,39,Yes,San Mateo County
920,SAN MATEO,94401,219000,1,1,968.0,5.0,95,69,47,Yes,San Mateo County
921,SAN MATEO,94402,3450000,4,2,3220.0,5.0,55,42,39,Yes,San Mateo County
922,San Mateo,94401,1700000,5,3,3212.0,5.0,82,69,41,No,San Mateo County
923,SAN MATEO,94401,249500,1,1,800.0,5.0,95,69,47,Yes,San Mateo County
924,BURLINGAME,94010,2999000,4,2,2704.0,8.0,96,80,41,Yes,San Mateo County
925,SAN MATEO,94402,6850000,3,3,4050.0,5.0,49,37,37,Yes,San Mateo County
926,SAN MATEO,94401,450000,2,2,1300.0,5.0,95,69,47,Yes,San Mateo County
927,SAN MATEO,94403,1498000,2,2,1380.0,6.3,82,79,50,Yes,San Mateo County
928,Foster City,94404,1290000,2,2,2224.0,7.7,63,81,41,Yes,San Mateo County
929,BELMONT,94002,1688000,3,2,2089.0174545454547,9.0,7,4,41,No,San Mateo County
930,SAN MATEO,94401,720000,2,2,1400.0,5.0,95,69,47,Yes,San Mateo County
931,SAN MATEO,94403,597000,1,1,690.0,7.0,63,81,37,Yes,San Mateo County
932,SAN MATEO,94404,1388000,3,2,1580.0,6.2,61,76,32,Yes,San Mateo County
933,SAN MATEO,94401,499000,2,2,1300.0,5.0,95,69,47,Yes,San Mateo County
934,SAN MATEO,94403,2195000,6,5,3642.0,7.0,62,81,36,No,San Mateo County
935,SAN MATEO,94403,1648880,4,2,1960.0,7.0,54,75,42,No,San Mateo County
936,SAN MATEO,94403,1300000,3,2,1060.0,7.0,54,75,42,Yes,San Mateo County
937,SAN MATEO,94401,260000,1,1,981.0,5.0,95,69,47,Yes,San Mateo County
938,SAN MATEO,94402,2599000,4,2,1750.0,7.0,13,28,41,Yes,San Mateo County
939,San Mateo,94401,629000,1,1,693.0,5.3,72,67,33,Yes,San Mateo County
940,BELMONT,94002,149000,3,2,2089.0174545454547,9.0,6,5,41,No,San Mateo County
941,San Mateo,94401,1198888,2,2,1287.0,6.3,96,88,46,No,San Mateo County
942,BELMONT,94002,1998000,3,2,1890.0,9.0,4,8,41,Yes,San Mateo County
943,BURLINGAME,94010,3990000,3,2,8625.0,8.0,96,78,41,Yes,San Mateo County
944,SAN MATEO,94401,1388000,4,2,970.0,5.6,77,82,37,Yes,San Mateo County
945,SAN MATEO,94403,1800000,5,3,2638.0,7.0,40,71,37,No,San Mateo County
946,SAN MATEO,94401,1850000,3,3,2336.0,6.3,89,93,45,Yes,San Mateo County
947,BELMONT,94002,19750000,56,49,43760.0,9.0,77,30,42,No,San Mateo County
948,MOUNTAIN VIEW,94043,595000,1,1,720.0,7.0,55,89,48,No,Santa Clara County
949,GILROY,95020,640000,3,2,1293.0,4.7,58,53,41,Yes,Santa Clara County
950,GILROY,95020,175000,2,1,800.0,4.8,57,71,41,No,Santa Clara County
951,Sunnyvale,94087,1280000,3,2,1280.0,7.7,65,84,36,Yes,Santa Clara County
952,Gilroy,95020,998000,4,3,2671.0,5.6,44,70,41,Yes,Santa Clara County
953,LOS GATOS,95033,750000,3,2,2089.0174545454547,5.6,6,4,41,No,Santa Clara County
954,LOS GATOS,95030,5178000,5,5,4247.0,8.6,70,62,41,Yes,Santa Clara County
955,San Jose,95122,1150000,3,2,1292.0,5.6,53,53,48,Yes,Santa Clara County
956,MOUNTAIN VIEW,94043,2099000,4,2,1903.0,8.0,58,90,39,Yes,Santa Clara County
957,SAN JOSE,95127,1275000,4,2,1342.0,2.0,17,22,41,Yes,Santa Clara County
958,SAN JOSE,95126,799000,1,1,540.0,4.7,79,84,50,No,Santa Clara County
959,LOS GATOS,95032,928000,2,2,1334.0,7.5,57,71,35,Yes,Santa Clara County
960,SAN JOSE,95126,860000,2,2,1311.0,4.0,86,82,56,Yes,Santa Clara County
961,SAN JOSE,95134,285000,2,2,1245.0,7.0,33,59,33,No,Santa Clara County
962,SUNNYVALE,94086,2190000,3,2,1952.0,6.0,75,89,51,Yes,Santa Clara County
963,LOS GATOS,95032,2399000,4,3,1820.0,8.6,85,83,41,No,Santa Clara County
964,SAN JOSE,95122,999900,4,2,1283.0,3.0,68,57,48,Yes,Santa Clara County
965,SAN JOSE,95117,1998888,3,2,1712.0,5.3,59,65,40,Yes,Santa Clara County
966,San Jose,95110,895000,3,2,1668.0,5.0,80,86,57,Yes,Santa Clara County
967,MORGAN HILL,95037,2888888,5,3,4133.0,5.7,10,7,32,Yes,Santa Clara County
968,SAN JOSE,95121,300000,2,2,1680.0,6.0,79,70,39,No,Santa Clara County
969,SAN JOSE,95118,1299000,3,2,1232.0,4.7,72,70,26,Yes,Santa Clara County
970,SAN JOSE,95128,315800,2,2,1440.0,5.6,51,77,47,No,Santa Clara County
971,PALO ALTO,94306,2100000,3,1,1476.0,8.3,70,98,41,Yes,Santa Clara County
972,GILROY,95020,599000,3,1,1176.0,4.5,90,82,41,No,Santa Clara County
973,LOS GATOS,95033,475000,3,2,2089.0174545454547,8.7,0,49,41,No,Santa Clara County
974,LOS ALTOS,94024,3095000,3,3,2044.0,9.0,3,11,41,Yes,Santa Clara County
975,SAN JOSE,95123,1229888,3,1,1037.0,6.3,51,56,45,Yes,Santa Clara County
976,SUNNYVALE,94087,2899000,7,6,3780.0,8.0,75,92,42,No,Santa Clara County
977,LOS ALTOS,94024,3288000,4,2,1868.0,8.3,37,64,24,Yes,Santa Clara County
978,SAN JOSE,95123,1400000,3,2,1617.0,6.7,28,17,35,Yes,Santa Clara County
979,SAN JOSE,95136,1599000,4,2,2124.0,4.7,24,67,41,Yes,Santa Clara County
980,PALO ALTO,94303,2498000,3,2,1683.0,8.3,53,91,26,Yes,Santa Clara County
981,SAN JOSE,95123,1598888,4,2,1321.0,7.3,45,61,33,Yes,Santa Clara County
982,SAN JOSE,95134,295000,2,2,1440.0,7.0,27,80,51,No,Santa Clara County
983,SAN JOSE,95112,1025000,5,4,2003.0,3.3,87,93,68,No,Santa Clara County
984,SAN JOSE,95125,2300000,3,2,3288.0,5.7,90,76,40,Yes,Santa Clara County
985,Sunnyvale,94085,999000,3,1,851.0,4.7,72,80,41,No,Santa Clara County
986,LOS ALTOS,94024,9500000,4,6,4971.0,9.0,39,36,41,Yes,Santa Clara County
987,SAN JOSE,95128,748800,2,2,1216.0,4.8,75,79,48,Yes,Santa Clara County
988,San Jose,95136,799900,1,1,1012.0,3.7,37,51,43,Yes,Santa Clara County
989,SARATOGA,95070,3500000,3,2,1993.0,8.2,33,27,41,Yes,Santa Clara County
990,LOS ALTOS,94022,2249000,1,1,1156.0,8.7,86,94,26,Yes,Santa Clara County
991,SAN JOSE,95131,998000,2,2,1371.0,7.0,42,67,57,Yes,Santa Clara County
992,SAN JOSE,95116,698000,2,2,1091.0,5.6,63,58,55,Yes,Santa Clara County
993,SAN JOSE,95148,1688888,5,2,2697.0,4.5,21,8,14,Yes,Santa Clara County
994,SANTA CLARA,95050,1399000,3,2,1080.0,6.0,64,78,42,Yes,Santa Clara County
995,GILROY,95020,598000,3,2,2089.0174545454547,5.0,12,29,41,No,Santa Clara County
996,San Jose,95123,1299000,3,2,1576.0,5.0,59,57,17,Yes,Santa Clara County
997,SAN JOSE,95117,999000,3,2,1360.0,6.3,74,70,41,Yes,Santa Clara County
998,SAN JOSE,95124,2398000,4,3,2130.0,8.7,29,39,41,Yes,Santa Clara County
999,SUNNYVALE,94089,240000,2,2,1460.0,7.0,39,77,45,No,Santa Clara County
1000,CAMPBELL,95008,1879000,3,2,1326.0,7.5,28,71,27,Yes,Santa Clara County
1001,SAN JOSE,95118,1050000,3,2,1232.0,4.7,37,50,32,Yes,Santa Clara County
1002,SAN JOSE,95123,699000,2,1,852.0,5.0,68,72,32,Yes,Santa Clara County
1003,San Jose,95124,1799000,4,2,2048.0,7.8,72,71,38,Yes,Santa Clara County
1004,Santa Clara,95050,1498000,3,2,1170.0,6.0,51,79,35,No,Santa Clara County
1005,SAN JOSE,95135,499000,1,1,947.0,8.2,14,35,25,No,Santa Clara County
1006,PALO ALTO,94301,3595000,3,2,2114.0,7.7,55,85,36,No,Santa Clara County
1007,SAN JOSE,95111,849000,2,1,1410.0,3.0,47,62,51,Yes,Santa Clara County
1008,LOS GATOS,95032,2550000,3,1,1500.0,8.6,83,83,41,Yes,Santa Clara County
1009,SARATOGA,95070,6998000,5,4,4699.0,9.2,26,32,41,Yes,Santa Clara County
1010,MENLO PARK,94025,4788000,4,5,3157.0,7.3,72,80,38,Yes,San Mateo County
1011,SANTA CLARA,95051,2650000,10,6,3961.0,7.0,75,82,27,Yes,Santa Clara County
1012,SUNNYVALE,94085,1199000,3,3,1150.0,4.7,21,70,46,Yes,Santa Clara County
1013,Cupertino,95014,2590000,3,2,1661.0,9.3,65,66,26,Yes,Santa Clara County
1014,SAN JOSE,95126,1399000,2,2,1194.0,4.7,83,79,51,Yes,Santa Clara County
1015,MORGAN HILL,95037,1150000,4,2,2472.0,5.3,0,8,41,Yes,Santa Clara County
1016,SAN JOSE,95138,1699000,4,2,2060.0,5.7,6,26,16,Yes,Santa Clara County
1017,San Jose,95136,1050000,3,3,1690.0,3.7,38,27,31,Yes,Santa Clara County
1018,SAN JOSE,95123,1199000,3,2,1546.0,4.3,43,61,40,Yes,Santa Clara County
1019,SANTA CLARA,95051,1498000,3,3,1600.0,6.7,56,69,38,Yes,Santa Clara County
1020,SAN JOSE,95123,275000,2,2,1440.0,4.7,50,68,40,No,Santa Clara County
1021,LOS ALTOS,94022,9399000,5,4,6308.0,8.3,65,84,40,Yes,Santa Clara County
1022,SAN JOSE,95138,1249900,2,2,1590.0,8.3,2,35,0,Yes,Santa Clara County
1023,San Jose,95112,1049000,4,2,1230.0,3.3,80,78,57,Yes,Santa Clara County
1024,MONTE SERENO,95030,5195000,5,3,3900.0,8.6,65,51,41,Yes,Santa Clara County
1025,MOUNTAIN VIEW,94041,2388000,5,3,2338.0,7.0,70,99,51,Yes,Santa Clara County
1026,SARATOGA,95070,3500000,4,2,2225.0,8.2,25,19,41,Yes,Santa Clara County
1027,SAN JOSE,95131,1428880,4,2,1843.0,7.0,56,70,54,Yes,Santa Clara County
1028,SAN JOSE,95140,3899000,5,3,3782.0,3.3,5,1,41,Yes,Santa Clara County
1029,SAN JOSE,95126,1999999,4,2,1926.0,4.7,73,81,49,Yes,Santa Clara County
1030,SAN JOSE,95128,2300000,3,3,1858.0,4.7,67,80,42,Yes,Santa Clara County
1031,SAN JOSE,95148,1698000,3,2,1798.0,7.7,13,23,18,Yes,Santa Clara County
1032,SAN JOSE,95111,289900,3,2,1230.0,3.8,67,60,44,No,Santa Clara County
1033,Sunnyvale,94086,1750000,5,2,2021.0,7.3,85,84,50,Yes,Santa Clara County
1034,SAN JOSE,95148,1459888,4,2,2199.0,5.7,68,60,48,Yes,Santa Clara County
1035,SAN JOSE,95118,655000,2,1,810.0,4.7,69,73,27,Yes,Santa Clara County
1036,SAN JOSE,95111,1099000,5,4,1992.0,3.7,9,61,44,Yes,Santa Clara County
1037,Palo Alto,94303,5680000,4,3,3253.0,8.3,35,89,27,Yes,Santa Clara County
1038,PALO ALTO,94301,2700000,3,2,1729.0,8.0,71,88,45,No,Santa Clara County
1039,SAN JOSE,95124,1599999,3,2,1569.0,6.3,27,60,34,Yes,Santa Clara County
1040,MONTE SERENO,95030,4995000,4,3,3588.0,8.6,65,51,41,Yes,Santa Clara County
1041,SAN JOSE,95135,1598888,3,2,2201.0,8.2,1,15,11,Yes,Santa Clara County
1042,MOUNTAIN VIEW,94043,895000,2,1,1000.0,7.3,61,92,35,No,Santa Clara County
1043,SAN JOSE,95136,1198000,3,2,1303.0,3.7,42,62,41,Yes,Santa Clara County
1044,San Jose,95116,699999,2,2,1142.0,5.6,76,64,55,Yes,Santa Clara County
1045,SAN JOSE,95123,599000,2,1,997.0,5.5,70,58,45,No,Santa Clara County
1046,MORGAN HILL,95037,1099000,3,2,1575.0,6.3,65,67,34,Yes,Santa Clara County
1047,MORGAN HILL,95037,2198800,3,3,3719.0,6.0,2,12,41,Yes,Santa Clara County
