,City,Zipcode,Price,Beds,Bath,SQFT,School_rating,WalkScore,Bike_Score,TransitScore,Garage_availability,County
498,Yountville,94599,5150000,5,4,3130.0,4.3,59,66,41,Yes,Napa County
499,Napa,94558,499000,2,1,994.0,4.0,60,47,23,Yes,Napa County
500,St. Helena,94574,4950000,3,3,3377.0,5.6,15,28,41,Yes,Napa County
501,Napa,94558,3150000,3,3,3116.0,5.0,1,49,41,Yes,Napa County
502,Napa,94559,4695000,2,2,1725.0,4.3,9,29,0,No,Napa County
503,Napa,94558,1098000,3,2,1649.0,4.3,19,16,16,Yes,Napa County
504,Calistoga,94515,7950000,3,2,2089.0174545454547,5.6,0,49,41,No,Napa County
505,Yountville,94599,1795000,3,2,1204.0,4.3,60,57,41,Yes,Napa County
506,Napa,94558,865000,3,2,1450.0,3.3,42,71,27,Yes,Napa County
507,Napa,94558,1249000,4,2,2004.0,4.3,9,45,41,Yes,Napa County
508,Calistoga,94515,6950000,7,7,5900.0,5.6,15,8,41,Yes,Napa County
509,NAPA,94559,675000,2,2,1220.0,3.7,86,71,33,Yes,Napa County
510,Calistoga,94515,13000000,5,5,6172.0,5.6,1,30,41,Yes,Napa County
511,Calistoga,94515,149900,2,2,1440.0,5.6,50,61,41,No,Napa County
512,Napa,94558,849000,3,2,1245.0,4.7,47,65,29,Yes,Napa County
513,Napa,94558,1585000,4,3,3054.0,4.7,56,55,29,Yes,Napa County
514,Napa,94558,155000,2,2,1334.0,3.3,53,64,34,Yes,Napa County
515,American Canyon,94503,639990,3,2,1583.0,5.6,44,45,41,Yes,Napa County
516,Napa,94558,510000,2,2,1212.0,4.0,50,49,25,Yes,Napa County
517,Napa,94558,899000,4,3,1564.0,4.0,44,34,24,Yes,Napa County
518,Napa,94558,60000,3,2,2089.0174545454547,5.0,0,49,41,No,Napa County
519,Calistoga,94515,7900000,3,4,3796.0,5.6,0,49,41,No,Napa County
520,Calistoga,94515,4980000,7,7,5379.0,5.6,0,49,41,Yes,Napa County
521,Yountville,94599,1190000,3,2,1352.0,4.3,47,49,41,Yes,Napa County
522,Napa,94559,350000,2,2,1750.0,4.3,22,30,41,No,Napa County
523,Napa,94558,1250000,3,2,1849.0,5.6,6,22,41,Yes,Napa County
524,St. Helena,94574,3500000,3,2,2089.0174545454547,5.6,4,49,41,No,Napa County
525,Napa,94558,945000,3,2,1713.0,4.7,72,64,31,Yes,Napa County
526,Napa,94559,2900000,3,2,2089.0174545454547,4.3,8,26,41,No,Napa County
527,St. Helena,94574,4750000,4,3,3690.0,5.6,38,59,41,No,Napa County
528,Napa,94559,699000,3,2,1083.0,4.0,47,44,26,Yes,Napa County
529,Napa,94558,40000,3,2,2089.0174545454547,5.0,0,2,41,No,Napa County
530,Vallejo,94589,519000,3,2,1324.0,5.6,52,15,27,Yes,Solano County
531,Napa,94558,639900,3,2,1747.0,5.0,2,1,41,Yes,Napa County
532,Napa,94558,149000,3,2,9744.0,5.0,0,2,41,No,Napa County
533,Napa,94558,699000,4,2,1600.0,4.0,83,88,27,No,Napa County
534,American Canyon,94503,865000,5,3,2811.0,5.7,54,54,41,Yes,Napa County
535,Napa,94558,769000,3,2,1684.0,3.3,56,74,29,Yes,Napa County
536,St. Helena,94574,1870000,3,2,2000.0,5.6,42,73,41,Yes,Napa County
537,Calistoga,94515,4500000,3,2,2089.0174545454547,5.6,3,48,41,No,Napa County
538,Napa,94558,1050000,4,3,1687.0,4.0,56,54,26,Yes,Napa County
539,Napa,94558,1030000,4,2,2414.0,4.7,64,65,31,Yes,Napa County
540,Napa,94559,1625000,5,3,3328.0,3.3,20,17,27,Yes,Napa County
541,Napa,94558,1030000,3,2,2682.0,4.7,53,58,29,Yes,Napa County
542,Napa,94559,698000,3,2,1722.0,4.0,40,38,25,Yes,Napa County
543,Angwin,94508,1699900,5,4,4838.0,5.6,2,20,41,Yes,Napa County
544,Napa,94558,689000,3,2,1042.0,5.0,61,46,41,Yes,Napa County
545,Napa,94558,1325000,4,2,2144.0,4.3,47,13,19,Yes,Napa County
546,Calistoga,94515,600000,2,1,1138.0,5.6,66,79,41,No,Napa County
547,St. Helena,94574,1395000,3,2,2411.0,5.6,6,28,41,Yes,Napa County
548,Calistoga,94515,1490000,7,8,8300.0,5.6,13,31,41,Yes,Napa County
549,Napa,94558,499500,2,1,958.0,4.7,72,63,32,No,Napa County
550,Napa,94558,1195000,4,2,2159.0,4.3,1,15,0,Yes,Napa County
551,Pope Valley,94567,45000,3,2,2089.0174545454547,5.6,0,49,41,No,Napa County
552,Napa,94558,1895000,2,1,2299.0,5.6,0,49,41,Yes,Napa County
553,Napa,94558,660000,4,3,1530.0,5.0,5,2,41,Yes,Napa County
554,Vallejo,94589,530000,4,2,1676.0,6.3,42,41,41,Yes,Solano County
555,Napa,94558,535000,2,2,1212.0,4.0,50,49,25,Yes,Napa County
556,Napa,94558,49000,3,2,2089.0174545454547,5.0,0,2,41,No,Napa County
557,American Canyon,94503,830000,5,3,3074.0,5.7,25,15,41,Yes,Napa County
558,Napa,94558,625000,3,2,3311.0,5.0,1,49,41,No,Napa County
559,Napa,94558,649999,3,2,1238.0,4.0,55,59,27,Yes,Napa County
